# 最终有效选择文件
# 只包含实际存在的故事之间的选择
# 格式: 故事ID|选择文本|下一个故事ID|金币消耗|金币奖励|生命消耗|生命奖励|经验奖励|要求|是否可用

story_1_18|仔细观察周围环境|story_1_19|0|0|0|0|8||true
story_1_18|继续向前探索|story_1_19|0|0|0|0|5||true
story_1_18|停下来思考|story_1_18|0|0|0|0|5||true
story_1_18|检查身上的物品|story_1_18|0|0|0|0|5||true
story_1_18|翻到第三页，查看自己的属性详情|story_1_19|0|0|0|0|10||true
story_1_18|合上手册，开始探索船舱|story_1_19|0|0|0|0|5||true
story_1_19|仔细观察周围环境|story_1_20|0|0|0|0|8||true
story_1_19|继续向前探索|story_1_19|0|0|0|0|5||true
story_1_19|停下来思考|story_1_18|0|0|0|0|5||true
story_1_19|检查身上的物品|story_1_18|0|0|0|0|5||true
story_1_19|继续往后翻，查看理智和天赋详情|story_1_20|0|0|0|0|15||true
story_1_19|合上手册，开始探索船舱|story_1_19|0|0|0|0|10||true
story_1_20|仔细观察周围环境|story_1_21|0|0|0|0|8||true
story_1_20|继续向前探索|story_1_19|0|0|0|0|5||true
story_1_20|停下来思考|story_1_18|0|0|0|0|5||true
story_1_20|检查身上的物品|story_1_18|0|0|0|0|5||true
story_1_20|继续往后翻，查看聊天频道|story_1_21|0|0|0|0|10||true
story_1_20|合上手册，开始探索船舱|story_1_19|0|0|0|0|5||true
story_1_21|仔细观察这个发现|story_1_22|0|0|0|0|8||true
story_1_21|谨慎地接近查看|story_1_18|0|0|0|0|6||true
story_1_21|继续观察聊天，收集更多情报|story_1_22|0|0|0|0|15||true
story_1_21|合上手册，开始行动|story_1_18|0|0|0|0|10||true
story_1_22|仔细观察这个发现|story_1_23|0|0|0|0|8||true
story_1_22|谨慎地接近查看|story_1_18|0|0|0|0|6||true
story_1_22|合上手册，开始探索船舱|story_1_19|0|0|0|0|15||true
story_1_22|准备开始钓鱼|story_1_22|0|0|0|0|20||true
story_1_23|继续观察聊天，了解更多装备信息|story_1_24|0|0|0|0|15||true
story_1_23|合上手册，开始探索自己的船|story_1_19|0|0|0|0|10||true
story_1_24|继续观察聊天，了解游戏机制|story_1_25|0|0|0|0|15||true
story_1_24|合上手册，检查自己的船只|story_1_18|0|0|0|0|10||true
story_1_25|继续观察聊天|story_1_26|0|0|0|0|10||true
story_1_25|合上手册，开始探索|story_1_19|0|0|0|0|15||true
story_1_26|拿起燧发枪，仔细检查|story_1_27|0|0|0|0|20||true
story_1_26|先不碰武器，继续搜索|story_1_29|0|0|0|0|10||true
story_1_27|仔细阅读纸条|story_1_28|0|0|0|0|15||true
story_1_27|先收起纸条，继续搜索|story_1_29|0|0|0|0|10||true
story_1_28|立即检查床底下的箱子|story_1_29|0|0|0|0|20||true
story_1_28|先把纸条收好，再搜索|story_1_29|0|0|0|0|15||true
story_1_29|收拾好物品，准备出海|story_1_30|0|0|0|0|25||true
story_1_29|继续搜索船舱其他地方|story_1_19|0|0|0|0|15||true
story_1_30|开始航行，寻找其他岛屿|story_1_19|0|0|0|0|30||true
story_1_30|先在聊天频道收集更多信息|story_1_18|0|0|0|0|20||true
story_1_30|继续探索这艘船|story_1_19|0|0|0|0|15||true
story_1_18|继续向前探索|story_1_19|0|0|0|0|5||true
story_1_18|停下来思考|story_1_18|0|0|0|0|5||true
story_1_18|检查身上的物品|story_1_18|0|0|0|0|5||true
story_1_18|合上手册，开始探索船舱|story_1_19|0|0|0|0|5||true
story_1_19|继续向前探索|story_1_19|0|0|0|0|5||true
story_1_19|停下来思考|story_1_18|0|0|0|0|5||true
story_1_19|检查身上的物品|story_1_18|0|0|0|0|5||true
story_1_19|合上手册，开始探索船舱|story_1_19|0|0|0|0|10||true
story_1_20|继续向前探索|story_1_19|0|0|0|0|5||true
story_1_20|停下来思考|story_1_18|0|0|0|0|5||true
story_1_20|检查身上的物品|story_1_18|0|0|0|0|5||true
story_1_20|合上手册，开始探索船舱|story_1_19|0|0|0|0|5||true
story_1_21|谨慎地接近查看|story_1_18|0|0|0|0|6||true
story_1_21|合上手册，开始行动|story_1_18|0|0|0|0|10||true
story_1_22|谨慎地接近查看|story_1_18|0|0|0|0|6||true
story_1_22|合上手册，开始探索船舱|story_1_19|0|0|0|0|15||true
story_1_22|准备开始钓鱼|story_1_22|0|0|0|0|20||true
story_1_23|合上手册，开始探索自己的船|story_1_19|0|0|0|0|10||true
story_1_24|合上手册，检查自己的船只|story_1_18|0|0|0|0|10||true
story_1_25|合上手册，开始探索|story_1_19|0|0|0|0|15||true
story_1_29|继续搜索船舱其他地方|story_1_19|0|0|0|0|15||true
story_1_30|开始航行，寻找其他岛屿|story_1_19|0|0|0|0|30||true
story_1_30|先在聊天频道收集更多信息|story_1_18|0|0|0|0|20||true
story_1_30|继续探索这艘船|story_1_19|0|0|0|0|15||true
